genename,Tce_WB_log2FC_SB,Tce_WB_FDR_SB,Tce_WB_sexbias,Tce_WB_log2FC_SA,Tce_WB_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-17609,-0.278809593,0.767950797,Unbiased,0.192002764,0.974365244,CM009480.1,LG5,A
RBBH-1761,-0.112428577,0.823283088,Unbiased,-0.280933387,0.843576326,CM009477.1,LG2,A
RBBH-17611,-0.331624859,0.619790244,Unbiased,0.299897665,0.899683717,CM009483.1,LG8,A
RBBH-17612,0.340683467,0.484133434,Unbiased,-0.222822718,0.903640768,CM009481.1,LG6,A
RBBH-17613,0.195769815,0.755425248,Unbiased,-0.836343098,0.279464271,CM009474.1,LG11,A
RBBH-17614,-0.993756833,0.013898137,male_biased,-0.048351329,0.983288495,CM009473.1,LG10,A
RBBH-17615,-0.004527992,0.994349172,Unbiased,-0.05689972,0.985650746,CM009481.1,LG6,A
RBBH-17616,-0.142546554,0.813560741,Unbiased,0.941364291,0.103632058,CM009475.1,LG12,A
RBBH-17618,-0.093079667,0.923979238,Unbiased,-0.505524394,0.850537285,NA,NA,NA
RBBH-17619,-0.255068576,0.578324202,Unbiased,-0.248053197,0.90573185,CM009479.1,LG4,A
RBBH-1762,-1.076193522,0.031430261,male_biased,0.291840525,0.913458548,PGFK01001852.1,NA,NA
RBBH-17620,0.179369009,0.843648427,Unbiased,0.315235158,0.928474367,CM009479.1,LG4,A
RBBH-17621,0.497579941,0.551624532,Unbiased,0.998633378,0.342713393,CM009472.1,LG1,A
RBBH-17622,-0.990791003,0.028851285,male_biased,-0.692902668,0.606362036,CM009477.1,LG2,A
RBBH-17624,-0.146364178,0.808586767,Unbiased,-0.743898583,0.323454016,CM009484.1,LG9,A
RBBH-17625,-0.692005359,0.27351615,Unbiased,-0.159912306,0.965658658,CM009480.1,LG5,A
RBBH-17626,0.367413322,0.399043433,Unbiased,-0.060776252,0.97857876,PGFK01001867.1,NA,NA
RBBH-17628,0.018504388,0.977465694,Unbiased,0.079302635,0.976059555,PGFK01001714.1,NA,NA
RBBH-17629,0.631380073,0.220576269,Unbiased,-0.318070668,0.883216663,CM009472.1,LG1,A
RBBH-1763,-0.444288799,0.396274709,Unbiased,-0.878691478,0.18087614,CM009478.1,LG3,A
RBBH-17630,0.343405884,0.454776529,Unbiased,-0.705218031,0.234091754,CM009479.1,LG4,A
RBBH-17631,0.29338748,0.60033469,Unbiased,1.595685687,2.81E-05,PGFK01001247.1,NA,NA
RBBH-17633,-0.618269766,0.437034223,Unbiased,0.023373253,0.995764028,CM009481.1,LG6,A
RBBH-17634,0.00147911,0.998130902,Unbiased,-0.240654578,0.888882853,CM009472.1,LG1,A
RBBH-17635,0.327904302,0.55529007,Unbiased,-0.134530707,0.964183425,CM009479.1,LG4,A
RBBH-17636,-0.717717179,0.167117435,Unbiased,-0.369935964,0.832103142,CM009479.1,LG4,A
RBBH-17637,-0.711886399,0.453280826,Unbiased,0.483430823,0.894320457,CM009477.1,LG2,A
RBBH-17638,0.158678531,0.769734635,Unbiased,0.098738736,0.972603389,CM009478.1,LG3,A
RBBH-17639,6.355622143,3.51E-12,female_biased,-0.537531727,0.869482147,CM009479.1,LG4,A
RBBH-1764,-0.32992594,0.669410165,Unbiased,0.032125197,0.994827032,CM009478.1,LG3,A
RBBH-17640,0.454714049,0.587060714,Unbiased,NA,NA,CM009477.1,LG2,A
RBBH-17642,-0.34604715,0.620162428,Unbiased,-0.068183112,0.9806066,CM009479.1,LG4,A
RBBH-17643,-0.215692049,0.739000831,Unbiased,0.094958739,0.976059555,CM009483.1,LG8,A
RBBH-17644,-0.302147833,0.72331639,Unbiased,1.380296393,0.316510988,CM009478.1,LG3,A
RBBH-17645,1.347360875,3.73E-05,female_biased,0.07798687,0.974800993,CM009479.1,LG4,A
RBBH-17646,-1.440847657,0.055931247,Unbiased,0.374842845,0.906698775,CM009478.1,LG3,A
RBBH-17647,-0.800404676,0.555874798,Unbiased,1.766556939,0.339531522,CM009483.1,LG8,A
RBBH-17648,-0.130962397,0.832304516,Unbiased,0.098162934,0.972603389,CM009484.1,LG9,A
RBBH-17649,0.27868211,0.767049262,Unbiased,0.407401294,0.874105114,CM009472.1,LG1,A
