genename,Tce_LG_log2FC_SB,Tce_LG_FDR_SB,Tce_LG_sexbias,Tce_LG_log2FC_SA,Tce_LG_FDR_SA,scaf_name,LG,chr_type
RBBH-17209,-0.049453317,0.99542733,Unbiased,-0.010493613,0.986448489,CM009482.1,LG7,A
RBBH-17212,0.555592538,0.888543611,Unbiased,-0.40706241,0.43281987,CM009477.1,LG2,A
RBBH-17214,-0.012699286,0.997686618,Unbiased,0.491122984,0.244640558,CM009474.1,LG11,A
RBBH-17215,0.251504693,0.911220267,Unbiased,0.687812938,0.033072664,CM009477.1,LG2,A
RBBH-17216,0.216374492,0.980980293,Unbiased,-0.188358241,0.815032799,PGFK01003130.1,NA,NA
RBBH-1722,0.271719907,0.885405977,Unbiased,0.303700896,0.394586396,CM009473.1,LG10,A
RBBH-17220,-0.588768367,0.24041995,Unbiased,0.390755323,0.192492322,CM009473.1,LG10,A
RBBH-17221,-0.382960007,0.728946023,Unbiased,0.005142204,0.989894092,CM009476.1,LG13,X
RBBH-17223,-1.087307153,0.087325613,Unbiased,0.640209415,0.096729092,CM009478.1,LG3,A
RBBH-17224,0.398843934,0.742030282,Unbiased,-0.459057644,0.146391175,CM009483.1,LG8,A
RBBH-17225,-0.555269912,0.86576417,Unbiased,-0.055791734,0.96040366,CM009475.1,LG12,A
RBBH-17227,-0.316427868,0.915817934,Unbiased,0.111401511,0.857515146,PGFK01000384.1,NA,NA
RBBH-17233,-0.820019475,0.139953796,Unbiased,-0.4519979,0.098512487,PGFK01001867.1,NA,NA
RBBH-17236,-0.131794461,0.971489035,Unbiased,-0.337234808,0.371222652,CM009477.1,LG2,A
RBBH-17237,-0.695992832,0.749752507,Unbiased,1.580944403,0.00050771,CM009482.1,LG7,A
RBBH-1724,0.138125459,0.979817753,Unbiased,-0.321011459,0.386785994,CM009476.1,LG13,X
RBBH-17241,0.032858948,0.997686618,Unbiased,-1.508882579,0.125297816,CM009472.1,LG1,A
RBBH-17242,-0.288222718,0.883179808,Unbiased,0.021131332,0.968413447,PGFK01003056.1,NA,NA
RBBH-17243,-0.302251697,0.968516459,Unbiased,-0.249728196,0.760725783,CM009483.1,LG8,A
RBBH-17246,-0.482922022,0.656757394,Unbiased,-0.024635103,0.965743055,CM009478.1,LG3,A
RBBH-17247,-0.446479003,0.775922349,Unbiased,0.270504996,0.562724828,CM009478.1,LG3,A
RBBH-17249,0.38437333,0.662178922,Unbiased,-0.532175283,0.053070926,CM009479.1,LG4,A
RBBH-1725,-0.118886839,0.985537895,Unbiased,-0.453829433,0.408922376,CM009482.1,LG7,A
RBBH-17250,0.246869177,0.902174332,Unbiased,-0.090604631,0.817785197,CM009483.1,LG8,A
RBBH-17251,-0.496367064,0.481456015,Unbiased,0.399702069,0.188001282,CM009483.1,LG8,A
